catid,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32,layer33,layer34,layer35,layer36,layer37,layer38,layer39,layer40
cat0000,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0001,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0002,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0003,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0004,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0005,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0006,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0007,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0008,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0009,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0010,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0011,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0012,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0013,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0014,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0015,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0016,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0017,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0018,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0019,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0020,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0021,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0022,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0023,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0024,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0025,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0026,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0027,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0028,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
