catid,layer1,layer2,layer3,layer4,layer5,layer6,layer7,layer8,layer9,layer10,layer11,layer12,layer13,layer14,layer15,layer16,layer17,layer18,layer19,layer20,layer21,layer22,layer23,layer24,layer25,layer26,layer27,layer28,layer29,layer30,layer31,layer32,layer33,layer34,layer35,layer36,layer37,layer38,layer39,layer40
cat0000,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0001,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0002,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0003,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0004,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0005,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0006,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0007,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0008,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0009,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0010,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0011,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0012,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0013,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0014,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0015,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0016,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0017,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0018,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0019,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0020,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0021,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0022,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0023,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0024,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0025,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0026,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0027,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0028,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0029,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0030,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0031,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0032,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0033,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0034,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0035,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0036,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0037,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0038,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0039,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat0040,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
